state,end,value,type
Alabama,7/18/2009,6970,h
Alabama,7/25/2009,7691,h
Alabama,8/1/2009,7506,h
Alabama,8/8/2009,7738,h
Alabama,8/15/2009,6472,h
Alabama,8/22/2009,7177,h
Alabama,8/29/2009,6496,h
Alabama,9/5/2009,5931,h
Alabama,9/12/2009,6437,h
Alabama,9/19/2009,7079,h
Alabama,9/26/2009,6995,h
Alabama,10/3/2009,7606,h
Alabama,10/10/2009,7673,h
Alabama,10/17/2009,7131,h
Alabama,10/24/2009,6796,h
Alabama,10/31/2009,7290,h
Alabama,11/7/2009,5659,h
Alabama,11/14/2009,7269,h
Alabama,11/21/2009,4875,h
Alabama,11/28/2009,10570,h
Alabama,12/5/2009,7843,h
Alabama,12/12/2009,6822,h
Alabama,12/19/2009,6613,h
Alabama,12/26/2009,12351,h
Alabama,1/2/2010,16560,h
Alabama,1/9/2010,11811,h
Alabama,1/16/2010,5919,h
Alabama,1/23/2010,6328,h
Alabama,1/30/2010,6165,h
Alabama,2/6/2010,6528,h
Alabama,2/13/2010,6702,h
Alabama,2/20/2010,5607,h
Alabama,2/27/2010,6881,h
Alabama,3/6/2010,5635,h
Alabama,3/13/2010,5785,h
Alabama,3/20/2010,6109,h
Alabama,3/27/2010,5904,h
Alabama,4/3/2010,6267,h
Alabama,4/10/2010,6142,h
Alabama,4/17/2010,5641,h
Alabama,4/24/2010,4915,h
Alabama,5/1/2010,5584,h
Alabama,5/8/2010,5683,h
Alabama,5/15/2010,5644,h
Alabama,5/22/2010,6274,h
Alabama,5/29/2010,7103,h
Alabama,6/5/2010,6852,h
Alabama,6/12/2010,6172,h
Alabama,6/19/2010,5303,h
Alabama,6/26/2010,7387,h
Alabama,7/3/2010,8338,h
Alabama,7/10/2010,9399,h
Alabama,7/17/2010,6328,h
Alabama,7/24/2010,5820,h
Alabama,7/31/2010,6352,h
Alabama,8/7/2010,7179,h
Alabama,8/14/2010,5862,h
Alabama,8/21/2010,5466,h
Alabama,8/28/2010,5954,h
Alabama,9/4/2010,5436,h
Alabama,9/11/2010,5554,h
Alabama,9/18/2010,5407,h
Alabama,9/25/2010,5262,h
Alabama,10/2/2010,6716,h
Alabama,10/9/2010,6874,h
Alabama,10/16/2010,5787,h
Alabama,10/23/2010,6860,h
Alabama,10/30/2010,6822,h
Alabama,11/6/2010,5825,h
Alabama,11/13/2010,6509,h
Alabama,11/20/2010,4901,h
Alabama,11/27/2010,9543,h
Alabama,12/4/2010,6713,h
Alabama,12/11/2010,6885,h
Alabama,12/18/2010,7352,h
Alabama,12/25/2010,8920,h
Alabama,1/1/2011,18218,h
Alabama,1/8/2011,8668,h
Alabama,1/15/2011,10277,h
Alabama,1/22/2011,6149,h
Alabama,1/29/2011,6010,h
Alabama,2/5/2011,6146,h
Alabama,2/12/2011,4964,h
Alabama,2/19/2011,4697,h
Alabama,2/26/2011,4943,h
Alabama,3/5/2011,5257,h
Alabama,3/12/2011,4935,h
Alabama,3/19/2011,5590,h
Alabama,3/26/2011,5567,h
Alabama,4/2/2011,7047,h
Alabama,4/9/2011,6307,h
Alabama,4/16/2011,5417,h
Alabama,4/23/2011,4802,h
Alabama,4/30/2011,10569,h
Alabama,5/7/2011,8476,h
Alabama,5/14/2011,7028,h
Alabama,5/21/2011,6448,h
Alabama,5/28/2011,6194,h
Alabama,6/4/2011,6300,h
Alabama,6/11/2011,5513,h
Alabama,6/18/2011,5331,h
Alabama,6/25/2011,6103,h
Alabama,7/2/2011,8413,h
Alabama,7/9/2011,11406,h
Alabama,7/16/2011,6576,h
Alabama,7/23/2011,4989,h
Alabama,7/30/2011,5296,h
Alabama,8/6/2011,5644,h
Alabama,8/13/2011,5685,h
Alabama,8/20/2011,4984,h
Alabama,8/27/2011,5242,h
Alabama,9/3/2011,4911,h
Alabama,9/10/2011,5057,h
Alabama,9/17/2011,6591,h
Alabama,9/24/2011,4708,h
Alabama,10/1/2011,6649,h
Alabama,10/8/2011,5074,h
Alabama,10/15/2011,4766,h
Alabama,10/22/2011,4947,h
Alabama,10/29/2011,5476,h
Alabama,11/5/2011,4478,h
Alabama,11/12/2011,5147,h
Alabama,11/19/2011,5110,h
Alabama,11/26/2011,7891,h
Alabama,12/3/2011,5289,h
Alabama,12/10/2011,5337,h
Alabama,12/17/2011,6114,h
Alabama,12/24/2011,10801,h
Alabama,12/31/2011,15413,h
Alabama,1/7/2012,7774,h
Alabama,1/14/2012,6525,h
Alabama,1/21/2012,5228,h
Alabama,1/28/2012,5077,h
Alabama,2/4/2012,4237,h
Alabama,2/11/2012,4184,h
